Unnamed: 0,Hospital,Location,Cordinates,Latitude,Longitude,Care system,Type,Beds,address,phone,rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website,services,payment,cleaned services
39,Katakwi General Hospital,"Katakwi, Katakwi District, Eastern Region, Uganda",01°55′03″N 33°57′44″E / 1.91750°N 33.96222°E,1.9175,33.96222,Public,General,100,"WX86+WV9, Katakwi, Uganda",,3.5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"General Hospital is committed to providing quality healthcare to its patients. Despite being understaffed and underfunded, the hospital offers a range of services including outpatient and inpatient care, maternity services, surgical procedures, and laboratory and diagnostic services. The hospital also offers HIV/AIDS counseling and testing services, making it an essential partner in the fight against the pandemic.",insurance,"outpatient and inpatient care, maternity services, surgical procedures, laboratory and diagnostic services, as well as HIV/AIDS counseling and testing services."
40,Kawolo General Hospital,"Buikwe, Buikwe District, Central Region, Uganda",00°22′05″N 32°56′44″E / 0.36806°N 32.94556°E,0.368056,32.94556,Public,General,106,"9W9W+53V, Kampala-Jinja Road, Lugazi, Uganda",0708 285465,3.6,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Kawolo General Hospital was built in 1968. It has a bed capacity of 106. In 2015, it admitted 11,699 patients and delivered 3,784 babies.[5] The hospital, which serves Buikwe District, and parts of Mukono District, Kayunga District and Buvuma District, handles a significant number of road traffic accidents on the Kampala–Jinja Highway.",insurance,"healthcare to patients, admitting both medical and maternity cases, and handling road traffic accidents "
41,Kiboga General Hospital,"Kiboga, Kiboga District, Central Region, Uganda",00°54′43″N 31°46′35″E / 0.91194°N 31.77639°E,0.911944,31.77639,Public,General,210,"WQ6G+JGG, Kampala-Hoima, Kiboga, Uganda",,3.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Despite being severely understaffed and underfunded, Kiboga General Hospital continues to provide critical healthcare services to people in the surrounding areas. The hospital serves parts of the following districts: Kiboga, Kyankwanzi, Kibaale, Nakaseke, Mubende, and Hoima. This makes it a crucial resource for people who may not have access to other healthcare facilities in the region.Despite its limitations, Kiboga General Hospital is committed to providing the best possible care to its patients. The hospital operates with old antiquated equipment, but its dedicated staff works tirelessly to ensure that patients receive the care and attention they need. From the moment patients enter the hospital, they are greeted with kindness and compassion. The hospital staff understands the importance of making patients feel comfortable and at ease, and they go out of their way to provide personalized care to each patient.Kiboga General Hospital may not have all the latest equipment or the most advanced facilities, but as the hospital continues to grow and evolve, it will remain an essential resource for the people of Central Uganda.",insurance,critical healthcare
42,Kiryandongo General Hospital,"Kiryandongo, Kiryandongo District, Western Region, Uganda",01°52′46″N 32°03′43″E / 1.87944°N 32.06194°E,1.879444,32.06194,Public,General,109,"V3H6+JQM, Kikube, Uganda",,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"he hospital offers a number of services including; OPD, inpatient, Opthalmology, X-ray, ultra sound, Orthopedics, health promotion and education, occupational therapy, HIV immunization, environmental health, special clinics among others.",insurance," OPD , inpatient care, Ophthalmology, X-ray, ultrasound, Orthopedics, health promotion and education, occupational therapy, HIV immunization, special clinics."
43,Kitagata General Hospital,"Kitagata, Sheema District, Western Region, Uganda",00°40′21″S 30°09′04″E / 0.67250°S 30.15111°E,-0.6725,30.15111,Public,General,100,"8JH4+V84, Road, Kampala, Uganda",0788 731342,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The hospital boasts a bed capacity of 100 and is staffed by a team of highly trained and experienced medical professionals who are dedicated to providing the best possible care to every patient who walks through their doors. Despite being a government hospital built over five decades ago, Kitagata General Hospital has managed to keep up with the latest advances in medical technology and treatment. The hospital is equipped with state-of-the-art medical equipment and facilities, ensuring that patients receive the best possible care at all times. In recent years, the government of Uganda has taken steps to improve the facilities and services offered by Kitagata General Hospital, as well as other hospitals across the country. In 2013, the government secured funds to renovate the hospital using funds borrowed from the World Bank. As a result, the hospital now boasts modern, well-equipped facilities and a high standard of medical care.",insurance,health care
44,Kitgum Hospital,"Kitgum, Kitgum District, Northern Uganda, Uganda",03°17′39″N 32°52′52″E / 3.29417°N 32.88111°E,3.294167,32.88111,Public,General,200,"7VVJ+JG2, Kitgum, Uganda",0782 331018,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Kitgum Hospital is a public hospital, established in 1934. It is intended to serve as the district hospital for Kitgum District and surrounding communities. A large number of patients are attended to from the districts of Abim, Agago, Kabong, Kotido, Lamwo, Nwoya and Pader. A significant number of the hospital patients come from neighboring South Sudan.[4] This has put great strain on the hospital resources, including the understaffed, underpaid personnel; the dilapidated and antiquated infrastructure & equipment and the inadequate financial resources.",insurance,health care
45,Kyenjojo General Hospital,"Kyenjojo, Kyenjojo District, Western Region, Uganda",00°37′01″N 30°38′15″E / 0.61694°N 30.63750°E,0.616944,30.6375,Public,General,100,"Kyenjojo Town Council, Kasiina, Kyenjojo, Uganda",,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,," Kyenjojo Health Centre IV has been transformed into the largest government healthcare facility in the district, providing a wide range of healthcare services to patients. The hospital sees a significant number of obstetric complications and road accident victims, making it a critical lifeline for those in need.At Kyenjojo General Hospital, patients can expect to receive world-class healthcare services from a team of highly skilled medical professionals. Whether you are in need of emergency medical attention or require specialized medical care, this hospital has got you covered.What’s more, Kyenjojo General Hospital is committed to ongoing renovations and expansion to ensure that patients receive the best possible care. With a focus on continually improving facilities and services, this hospital is dedicated to meeting the healthcare needs of patients in the region.For patients in need of quality healthcare services, Kyenjojo General Hospital is the go-to healthcare facility in the region. Visit today and experience the highest level of medical care in the heart of Kyenjojo District.",insurance,
46,Lyantonde General Hospital,"Lyantonde, Lyantonde District, Central Region, Uganda",00°23′56″S 31°09′13″E / 0.39889°S 31.15361°E,-0.39889,31.15361,Public,General,100,,,,,,,,,,,https://ayoma.co.ug/listing/lyantonde-general-hospital/,"Lyantonde General Hospital boasts a team of highly skilled and experienced medical professionals who are committed to providing excellent healthcare services to patients. From diagnosis to treatment and rehabilitation, patients are guaranteed personalized and compassionate care that focuses on their unique needs. The hospital also has state-of-the-art medical equipment and facilities, which ensures that patients receive accurate and timely diagnoses and treatment.Whether you need routine medical checkups, emergency medical care, or specialized medical services, Lyantonde General Hospital has got you covered. The hospital’s medical services include but are not limited to maternity services, outpatient services, surgical services, dental services, and laboratory services.",insurance,"maternity services, outpatient services, surgical services, dental services, and laboratory services."
47,Masafu General Hospital,"Masafu, Busia District, Eastern Region, Uganda",00°24′48″N 34°02′05″E / 0.41333°N 34.03472°E,0.413333,34.03472,Public,General,100,,,3.3,,,,,,,,,Masafu General Hospital was established in 2010 when the Masafu Health Centre IV was upgraded to hospital status.[4] The hospital attends to a large number of HIV/AIDS patients.,insurance,HIV/AIDS patients.
48,Masindi General Hospital,"Masindi, Western Region, Uganda",01°41′07″N 31°42′48″E / 1.68528°N 31.71333°E,1.685278,31.71333,Public,General,160,"MPM8+899, Masindi, Uganda",,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,The overall goal of the sector is to provide good quality services to the people of Masindi District to make them attain good standards of health in order to live a healthy and reproductive life. The sector objective is to reduce morbidity and mortality from the major causes of ill health and premature health and disparities therein”.Masindi District has a total of 51 registered and reporting Health Facilities,insurance,health care
49,Mityana Hospital,"Mityana, Mityana District, Buganda Region, Uganda",00°23′48″N 32°03′34″E / 0.39667°N 32.05944°E,0.396667,32.05944,Public,General,100,"92WV+Q2F, Mityana Town Council/P.O. Box 52, Mityana, Uganda",0772 458561,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Mityana General Hospital is staffed with qualified medical professionals, including doctors, nurses, and support staff, who are dedicated to providing quality care to patients. The hospital also has a well-equipped laboratory and pharmacy, ensuring that patients receive timely and accurate diagnoses and access to essential medication. In summary, Mityana General Hospital is a modern facility at the heart of Uganda’s healthcare system, providing essential services to the people of Mityana and its environs.",No payment,"healthcare,laboratory, pharmacy"
50,Moyo General Hospital,"Moyo, Moyo District, Northern Region, Uganda",03°38′59″N 31°43′38″E / 3.64972°N 31.72722°E,3.649722,31.72722,Public,General,176,"MP5H+64F, Moyo, Uganda",,3.6,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"After the renovation, the hospital will have a new emergency department (casualty department), a new, larger outpatient department, a new building to house the diesel-powered electricity generator, a new placenta disposal pit, a new medical waste disposal pit, a laundry facility for patients’ families, a kitchen and dining room for patients’ families, ventilated improved pit latrines for patient families and outpatients, and two new staff houses.The construction started in February 2014 with an expected completion date in October 2015. However, due to multiple delays, the new expected completion date is June 2016. This renovation will significantly improve the hospital’s infrastructure, equipment, and staffing, making it one of the best hospitals in the region.Although the hospital is severely under-staffed, employing only 60 nurses out of the 120 needed, it remains a critical healthcare provider in the region. Moyo General Hospital serves as a lifeline for the local population, and the renovation will significantly improve the quality of healthcare provided.",,"emergency department, outpatient "
51,Mpigi Hospital,"Mpigi, Mpigi District, Central Uganda, Uganda",00°13′30″N 32°19′19″E / 0.22500°N 32.32194°E,0.225,32.32194,Public,General,100,,,4.7,,,,,,,,,"Mpigi General Hospital is staffed by a team of experienced medical professionals including one medical officer, clinical officers, nurses, and midwives who work tirelessly to attend to the various health conditions that affect the people of Mpigi District.At Mpigi General Hospital, patients are assured of quality healthcare services that cater to various health conditions including obstetric cases and complications, HIV/AIDS related morbidity, childhood fevers, and respiratory infections among children and adults. The hospital’s medical team is committed to ensuring that patients receive the best possible healthcare services that are tailored to meet their unique needs.",,"obstetric cases, HIV/AIDS, childhood fevers, and respiratory infections"
52,Nakaseke General Hospital,"Nakaseke, Nakaseke District, Central Region, Uganda",00°43′06″N 32°23′56″E / 0.71833°N 32.39889°E,0.718333,32.39889,Public,General,120,"Kyangato, Uganda",,3.4,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,," The hospital underwent a massive renovation process, which included the construction of new outpatient and emergency departments, a diesel generator building, a placenta disposal pit, and a laundry facility for patients’ families. The hospital also built new physician residences and staff houses and renovated six existing staff residences.Nakaseke General Hospital is now better equipped to provide quality healthcare services to the people of Nakaseke and neighboring districts. The hospital offers a wide range of medical services, including general surgery, pediatrics, gynecology, and obstetrics. The hospital has state-of-the-art equipment, including CT scan machines, ultrasound machines, and laboratory equipment that enables the medical staff to provide accurate diagnoses and effective treatment.The hospital has also put in place measures to ensure patient safety and comfort. The hospital has installed ventilated improved pit latrines for patient families and outpatients, and patients’ families can now enjoy meals in the newly built kitchen and dining room.",insuarance,"general surgery, pediatrics, gynecology, obstetrics, CT scan , ultrasound machines, and laboratory equipment for accurate diagnoses and effective treatment. "
53,Nebbi General Hospital,"Nebbi, Nebbi District, Northern Region, Uganda",02°28′39″N 31°05′08″E / 2.47750°N 31.08556°E,2.4775,31.08556,Public,General,108,"F3HP+265, Nebbi, Uganda",,3.8,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,https://businessdirectory.co.ug/hospital/nebbi-general-hospital/,"larger outpatient department, casualty department, and a building to house the diesel generator for electricity. In addition to the new facilities, Nebbi Hospital also has a placenta disposal facility, a bio-medical waste disposal facility, a laundry facility for patient’s family members, a kitchen and dining room, and ventilated improved pit latrines for patients’ families and outpatients. The T-Block building and two existing staff houses were also refurbished as part of the renovation project. Today, Nebbi General Hospital is a modern healthcare facility equipped with state-of-the-art equipment and staffed by a team of qualified medical professionals. The hospital provides personalized care to patients, and its mission is to improve the health and well-being of the communities it serves. So, if you’re looking for a healthcare facility that you can trust, then Nebbi General Hospital is the place to go.",insuarance,
54,Pallisa General Hospital,,,,,,,,"5PG6+8H6, Pallisa, Uganda",,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,," As of January 2021, the hospital has a capacity of 109 beds, providing quality healthcare services to patients in need.While it is true that the hospital has not undergone any major renovations in recent times, it continues to provide much-needed medical care to the community. The hospital is owned by the Ugandan Government and administered by the Pallisa District Local Government, ensuring that the hospital is well-maintained and properly managed.One of the most remarkable achievements of Pallisa General Hospital is the fact that it has treated and discharged over 60 COVID-19 patients as of July 2021, despite not having an intensive care unit (ICU) or an oxygen generating unit. This is a testament to the dedication and resilience of the hospital staff, who have gone above and beyond to ensure that patients receive the care they need.It is important to note that the Government of Uganda signed a credit agreement with the International Development Association in August 2010, with the aim of renovating a number of General Hospitals and two Regional Referral Hospitals in Uganda, including Pallisa General Hospital. However, as of December 2019, those planned renovations had not been carried out yet.",insuarance,health care
55,Rakai General Hospital,"Rakai, Rakai District, Central Region, Uganda",00°42′19″S 31°24′09″E / 0.70528°S 31.40250°E,-0.70528,31.4025,Public,General,100,"7CP3+M5H, Rakai town, Uganda",,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,, Rakai General Hospital is committed to providing high-quality healthcare services to its patients. The hospital staff works tirelessly to ensure that patients receive the care and treatment they need to recover and lead healthy lives. The hospital also invests in training and development programs for its staff to ensure that they have the necessary skills and knowledge to provide quality healthcare services.,insuarance,
56,Tororo General Hospital,"Tororo, Tororo District, Eastern Region, Uganda",00°41′39″N 34°11′13″E / 0.69417°N 34.18694°E,0.694167,34.18694,Public,General,200,"M5VP+FPF, Tororo, Uganda",,3.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Despite facing several challenges such as poor funding, corruption, and inadequate staffing, Tororo General Hospital has managed to provide critical medical services to patients in Tororo and beyond. The hospital is owned by the Uganda Government and administered by the Uganda Ministry of Health, and serves the general public. A recent study carried out at the hospital identified seven conditions associated with stillbirths and neonatal deaths. These conditions include prematurity of the baby, breech presentation, multiple gestation, cesarean delivery, low birth weight, antepartum hemorrhage, and cord prolapse. The rate of perinatal death at the hospital was higher than Uganda’s national targets, but the medical staff at Tororo General Hospital are working hard to improve this statistic.",insuarance,
57,Yumbe General Hospital,"Yumbe, Yumbe District, Northern Region, Uganda",03°27′56″N 31°14′35″E / 3.46556°N 31.24306°E,3.465556,31.24306,Public,General,100,,,4.4,,,,,,,,,"Out Patient (OPD),  Mental Health, ENT, Radiology (X-Ray/Ultra-Sound) , Dental Health, Pharmacy , Eye, Emergency/Causality, A.R.T, NCD, TB, Orthopedic, Palliative Care, Maternity, Female Unit, Male Unit, Children Unit, Theatre, Mortuary, Maternal & Child Health, Youth Friendly, Nutrition",,"Out Patient, Mental Health, Ear, Nose, and Throat, Radiology, X-Ray , Ultra-Sound, Dental Health, Pharmacy, Eye Care, Emergency, Antiretroviral Therapy, Non Communicable Diseases, Tuberculosis , Orthopedic Care, Palliative Care, Maternity Services, Female Unit, Male Unit, Children's Unit, Operating Theatre, Mortuary Services, Maternal & Child Health, Youth Friendly Services, Nutrition Services"
58,Buwenge General Hospital,"Buwenge, Jinja District, Eastern Region, Uganda",00°39′02″N 33°10′15″E / 0.65056°N 33.17083°E,0.650556,33.17083,Public,General,200,"Bugiri, Uganda",043 4251557,3,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,,"the hospital will be equipped with modern facilities, including a double-storied T-Block to house patient wards, a new, larger outpatient department, an emergency department, a hospital administration block, a diesel generator for electricity, and facilities for placenta disposal, biomedical waste disposal, laundry, and kitchen and dining for patients’ families. In addition, six new staff residences will be built, and ventilated, improved, pit latrines will be provided for patients’ families and outpatients.The hospital’s strategic location, approximately 28 kilometres north of Jinja Regional Referral Hospital, and 109 kilometres northwest of Mulago National Referral Hospital, makes it easily accessible to patients from nearby districts. Once completed, Buwenge General Hospital will offer quality healthcare services to the people of Eastern Uganda, thereby reducing the need for patients to travel long distances in search of medical attention.",,
61,Bwera General Hospital,"Bwera, Kasese District, Western Region, Uganda",00°02′02″N 29°46′01″E / 0.03389°N 29.76694°E,0.033889,29.76694,Public,General,100,,,4,,,,,,,,,"Bwera General Hospital admits a large number of patients on a regular basis. In fact, during times of high demand, the hospital has been known to admit up to 300 patients. However, like many government hospitals in Uganda, Bwera General Hospital faces a number of challenges, including non-functioning equipment, under-staffing, poor funding, over-worked staff, and slow payment of staff. Despite these challenges, Bwera General Hospital remains committed to providing high-quality healthcare services to its patients. The hospital has a well-equipped Ebola treatment unit that played a vital role in treating patients during the 2018-20 Kivu Ebola epidemic that affected neighboring Democratic Republic of Congo. This unit is a testament to the hospital’s dedication to staying at the forefront of healthcare in the region.",," inpatient and outpatient care, mental health services, radiology (X-ray and ultrasound), dental care, pharmacy services, eye care, emergency services, antiretroviral therapy (ART) for HIV/AIDS, treatment for non-communicable diseases (NCDs), tuberculosis (TB) treatment, orthopedic services, palliative care, maternity services, pediatric care, surgical procedures, mortuary services, maternal and child health services, and nutrition services."
62,Entebbe General Hospital,"Entebbe, Wakiso District, Central Region, Uganda",00°03′50″N 32°28′18″E / 0.06389°N 32.47167°E,0.063889,32.47167,Public,General,200,"3F7C+7PJ, Entebbe, Uganda",,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The new facility has a private fee-for-service wing and a public, free-service wing. Other services include pediatrics, radiology, laboratory, maternity, immunization, general surgery, internal medicine, orthopedics and operating rooms. Patients served come from Wakiso District, Mpigi District, Entebbe Town, and the neighboring islands in Lake Victoria.",,"private fee-for-service and public free-service wings, along with pediatrics, radiology, laboratory services, maternity care, immunization, general surgery, internal medicine, orthopedics, and operating rooms."
63,Kawempe General Hospital,"Kawempe, Kampala, Central Region, Uganda",00°21′43″N 32°33′41″E / 0.36194°N 32.56139°E,0.361944,32.56139,Public,General,200,"22d Winston Rd, Kampala, Uganda",0702 438930,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
66,Kiruddu General Hospital,"Salaama, Kampala, Makindye Division, Central Region, Uganda",00°14′53″N 32°36′45″E / 0.24806°N 32.61250°E,0.248056,32.6125,Public,General,200[1],"668a Salaama Rd, Kampala, Uganda",041 4672315,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.kiruddu.hosp.go.ug/,"DIAGNOSTIC SERVICES, This Service includes Radiology services, the unit has services like CT scans, x-ray , Fluoroscopy, Ultra Sound. Laboratory Services, ECG and ECHO service, Endoscopy, and Bronchoscopy and Laboratory Services CARDIOLOGY DEPARTMENT This service is Handled on Friday This service is Handled on a daily basis IMMUNIZATION SERVICES Immunization Services are handled nearly every day PSYCHIATRIC SERVICES Psychiatric services is handled every Tuesday BURNS AND PLASTIC SURGERY Cosmetic Surgery includes surgical and nonsurgical NEPHROLOGY - DIALYSIS THERAPY SERVICES Vision: To be the leader in preserving the health and wellbeing of patients with kidney diseases in Africa SOCIAL WORK SERVICES AND PATIENT AFFAIRS DESK OPHTHALMOLOGY LUNG HEALTH SERVICES AT KIRUDDU NRH EAR, NOSE AND THROAT (OTOLARYNOLOGY)",,"Diagnostic Services, Cardiology, Immunization Services, Psychiatric Services, Burns and Plastic Surgery, Nephrology ,Dialysis Therapy Services, Social Work Services , Patient Affairs Desk, Ophthalmology, Lung Health Services at Kiruddu NRH, Ear, Nose Throat ."
68,Naguru General Hospital,"Naguru, Nakawa Division, Kampala, Central Region, Uganda",00°19′44″N 32°36′24″E / 0.32889°N 32.60667°E,0.328889,32.60667,Public,General,100,"8JH4+V84, Road, Kampala, Uganda",0788 731342,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The institution which was completed in December 2011,[3] consists of seven buildings, four operating rooms, a maternity ward, a pediatric unit, a teenage center (adolescent health unit), a blood bank, radiology department (including a CT scanner) and housing for medical staff. The hospital was officially handed over to the Government of Uganda on 10 January 2012, to be jointly administered by the Uganda Ministry of Health and Kampala Capital City Authority ",,"Operating Rooms, Maternity Ward, Pediatric Unit, Teenage Center ,Adolescent Health Unit, Blood Bank, Radiology Department ,CT scanner, Housing for Medical Staff."
70,Arua Regional Cancer Centre,"Arua, Northern Region, Uganda",,,,Public,"Cancer Treatment, Research and Teaching",,,,,,,,,,,,,"The cancer treatment, research, and teaching center is staffed by skilled oncologists who work in collaboration with Uganda Cancer Institute (UCI) specialists to provide top-notch care to patients.ARCC is also a hub for cancer research and education, making it an invaluable resource for healthcare professionals across the country. ",,"Cancer Treatment, Research, Teaching, Cancer Research, Cancer Education."
71,Mbarara Regional Cancer Centre,"Mbarara, Western Region, Uganda",,,,Public,"Cancer Treatment, Research and Teaching",,"8HXM+22M, Upper Mulago Hill Rd, Kampala, Uganda",041 4540410,3.6,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,https://mbararahospital.go.ug/cancer-unit/,"Welcome to Mbarara Hospital Cancer Center, one of the Uganda’s leading cancer programs. We combine our innovative research and powerful therapeutic breakthroughs with a human, compassionate touch that honors your very personal cancer experience.",,"Cancer Treatment, Research, Compassionate Care, Therapeutic Breakthroughs, Personalized Experience."
72,Gulu Regional Cancer Centre,"Gulu, Northern Region, Uganda",,,,Public,"Cancer Treatment, Research and Teaching",,"Gulu, Kampala, Uganda",,1,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,,"GRCC is a cancer treatment, research, and teaching center affiliated with the Gulu University School of Medicine and Gulu Regional Referral Hospital. The center is expected to provide accessible and affordable cancer care for patients in the Northern Region of Uganda.The establishment of the center was informed by the increased patient burden at Uganda Cancer Institute in Kampala",,"Cancer Treatment, Research, Teaching"
73,Mbale Regional Cancer Centre,"Mbale, Eastern Region, Uganda",,,,Public,"Cancer Treatment, Research and Teaching",,"8HXM+22M, Upper Mulago Hill Rd, Kampala, Uganda",041 4540410,3.6,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,,"Mbale Regional Cancer Centre (MbRCC), is changing the narrative.MbRCC, a public, specialized, tertiary care medical facility owned by the Uganda Ministry of Health, is located on the campus of Mbale Regional Referral Hospital, in the heart of the city of Mbale, Eastern Uganda. The center, which became functional in the 2019/2020 financial year, is a cancer treatment, research, and teaching center affiliated with the Busitema University School of Medicine.",,"Cancer Treatment, Research, Teaching"
74,"Aga Khan University Hospital, Kampala","Nakawa, Kampala, Central Region, Uganda",00°19′30″N 32°36′50″E / 0.32500°N 32.61389°E,0.325,32.61389,Private,"Tertiary, Referral, Teaching","150 (2026), 600 (2030)","Spring Rd, Kampala, Uganda",041 4581280,3.7,8:30AM - 5:30PM,8:30AM - 5:30PM,8:30AM - 5:30PM,8:30AM - 5:30PM,8:30AM - 5:30PM,Closed,Closed,https://www.eahealth.org/directory/search/organisations/aga-khan-university-hospital-kampala,University Based General Hosipital,,General care
75,Angal Hospital,"Angal Village, Nyaravur sub-county, Nebbi District, Northern Region, Uganda",02°24′33″N 31°11′36″E / 2.40917°N 31.19333°E,2.409167,31.19333,Private,Community,260,Uganda,,4.5,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 1:00PM,Closed,https://www.angal.org/,"General OPD OPD is the main entry point for any patient to the hospital., Inpatient Department, Has over 200 beds, the IP is divided into eight wards/Units. Rehabilitation, Contrary to popular belief, Lorem Ipsum is not simply random. Physiotherapy Unit, Conditions treated include muscular-skeletal conditions, stroke, and other neurologic conditions. Pharmacy The Pharmacy is run by one Technician, One Pharmacy Assistant and one Store Assistant. Eating a Balanced Diet.",,"OPD, Inpatient Department, Rehabilitation, Physiotherapy, Pharmacy"
76,Bishop Ceaser Asili Memorial Hospital,"Luweero, Luweero District, Central Region, Uganda",00°49′32″N 32°30′04″E / 0.82556°N 32.50111°E,0.825556,32.50111,Community Hospital,General,~ 100,"RGG2+5GR, Luweero, Uganda",,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Bishop Ceaser Asili Memorial Hospital, is an urban community hospital, that serves the population of Luweero District. It is the only General Hospital in the district. Due to the good quality of services rendered, many patients travel from other parts of the country to seek services at this facility.",,General care
77,Buluba Hospital,"Buluba, Mayuge District, Eastern Region, Uganda",00°29′32″N 33°23′06″E / 0.49222°N 33.38500°E,0.492222,33.385,Public,General,100,"F9RP+P3R, Buluba, Uganda",,5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.bulubahospital.com/,"Medical Treatment, We offer management and care of patients to combat disease or disorder. This includes: All treatment not otherwise excluded. Using prescription medications, or use of a non-prescription drug at prescription strength. Emergency Help We offer critical care to the improvement of outcomes in patients with obstetric and medical emergencies and severe injuries, and other serious time sensitive illnesses in the pre-hospital or out-of-hospital. Medical professionals, We are here to help you, and are committed to delivering a unique and valuable medical services. We take pride in our friendly and professional approach to restoring your health. Qualified Doctors, We are committed to providing high quality healthcare based on both National and International standards that meet its client’s needs and exceeds their expectations.",,"Medical Treatment, Emergency"
78,Bwindi Community Hospital,,,,,,,,"Buhoma, Uganda",0703 342891,4.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.bwindihospital.com/,"We offer a number of services that include; Outpatient and Inpatient, Child health, Maternal health, Community health and Batwa, Dental and Eye health care, Diagnostics and Laboratory, Mental health,Chronic Care, Accident and Emergency Services, Ambulance services, HIV/AIDS and TB care, Youth friendly services and eQuality health insurance. We are also training the next generation of healthcare professionals at Uganda Nursing School Bwindi and Uganda College of Health Sciences Bwindi.",,"Outpatient ,Inpatient, Child health, Maternal health, Community health and Batwa, Dental , Eye health care, Diagnostics ,Laboratory, Mental health, Chronic Care, Accident and Emergency Services, HIV/AIDS ,TB care, Youth friendly services, eQuality health insurance"
79,CoRSU Rehabilitation Hospital,"Kisubi, Wakiso District, Buganda Region, Uganda",00°07′58″N 32°32′08″E / 0.13278°N 32.53556°E,0.132778,32.53556,Private,Surgical rehabilitation,,"CoRSU Rehabilitation Hospital, Kisubi, Uganda",0794 900111,4,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,https://corsuhospital.org/,"CoRSU was established in 2009 as a private, non-profit, non-governmental organization in Uganda. CoRSU’s core mandate is to mitigate the debilitating effects of disabling physical conditions, by ensuring accessibility and availability of quality, preventative, curative, rehabilitative services for people with disability in Uganda and neighboring countries. CoRSU provides subsidized treatments (surgery and rehabilitation) for vulnerable patients and this is carried out through social assessment tools.",,"Surgery ,rehabilitation"
